이름,분류,지역
경향신문,일간지,
광주일보,일간지,광주
국민일보,일간지,
내일신문,일간지,
동아일보,일간지,
매일일보,일간지,
문화일보,일간지,
서울신문,일간지,
세계일보,일간지,
신아일보,일간지,
아시아투데이,일간지,
울산신문,일간지,울산
전국매일신문,일간지,
조선일보,일간지,
중앙일보,일간지,
천지일보,일간지,
한겨레,일간지,
한국일보,일간지,
가톨릭평화방송·평화신문,방송/통신,
경인방송,방송/통신,인천
광주MBC,방송/통신,광주
국제뉴스,방송/통신,
국회방송,방송/통신,
내외경제tv,방송/통신,
뉴스1,방송/통신,
뉴스웍스,방송/통신,
뉴스핌,방송/통신,
뉴시스,방송/통신,
대전MBC,방송/통신,대전
디지틀조선TV,방송/통신,
머니투데이방송,방송/통신,
목포MBC,방송/통신,전남
부산MBC,방송/통신,부산
서울경제TV,방송/통신,
안동MBC,방송/통신,경북
여수MBC,방송/통신,전남
연합뉴스,방송/통신,
연합뉴스TV,방송/통신,
울산MBC,방송/통신,울산
제주MBC,방송/통신,제주
채널A,방송/통신,
춘천MBC,방송/통신,강원
팍스경제TV,방송/통신,
포항MBC,방송/통신,경북
한국경제TV,방송/통신,
Arirang TV,방송/통신,
BBC,방송/통신,
BTN불교TV,방송/통신,
CMB광주방송,방송/통신,광주
CMB대전방송,방송/통신,대전
EBS,방송/통신,
G1방송,방송/통신,강원
HCN 새로넷방송,방송/통신,경북
HCN충북방송,방송/통신,
JTBC,방송/통신,
JTV전주방송,방송/통신,전북
KBS,방송/통신,
KNN,방송/통신,부산
KTV국민방송,방송/통신,
LG헬로비전,방송/통신,
MBC,방송/통신,
MBC강원영동,방송/통신,강원
MBC경남,방송/통신,경남
MBC충북,방송/통신,
MBN,방송/통신,
NSP통신,방송/통신,
OBS,방송/통신,경기
SBS,방송/통신,
SBS Biz,방송/통신,
SK브로드밴드,방송/통신,
TBC,방송/통신,대구
TBS,방송/통신,
TJB대전방송,방송/통신,대전
TV조선,방송/통신,
ubc울산방송,방송/통신,울산
YTN,방송/통신,
YTN라디오,방송/통신,
YTN사이언스,방송/통신,
게임톡,경제/IT,
게임포커스,경제/IT,
글로벌이코노믹,경제/IT,
나이스경제,경제/IT,
넥스트데일리,경제/IT,
녹색경제신문,경제/IT,
뉴스토마토,경제/IT,
대한경제,경제/IT,
대한금융신문,경제/IT,
더리브스,경제/IT,
더벨,경제/IT,
데이터넷,경제/IT,
데일리경제,경제/IT,
디아이투데이,경제/IT,
디지털데일리,경제/IT,
디지털타임스,경제/IT,
디지털투데이,경제/IT,
딜라이트닷넷,경제/IT,
매일경제,경제/IT,
매일경제TV,경제/IT,
머니투데이,경제/IT,
바이라인네트워크,경제/IT,
베타뉴스,경제/IT,
벤처스퀘어,경제/IT,
보안뉴스,경제/IT,
브릿지경제,경제/IT,
블로터,경제/IT,
비즈니스포스트,경제/IT,
비즈워치,경제/IT,
비즈한국,경제/IT,
서울경제,경제/IT,
서울파이낸스,경제/IT,
시장경제신문,경제/IT,
씨넷코리아,경제/IT,
아시아경제,경제/IT,
아시아타임즈,경제/IT,
아유경제,경제/IT,
아이티데일리,경제/IT,
아주경제,경제/IT,
앱스토리,경제/IT,
에너지경제,경제/IT,
에이빙뉴스,경제/IT,
이뉴스투데이,경제/IT,
이데일리,경제/IT,
이코노뉴스,경제/IT,
이투뉴스,경제/IT,
이투데이,경제/IT,
전자신문,경제/IT,
정보통신신문,경제/IT,
조선비즈,경제/IT,
조세일보,경제/IT,
중소기업신문,경제/IT,
증권경제신문,경제/IT,
지디넷코리아,경제/IT,
초이스경제,경제/IT,
케이벤치,경제/IT,
코인리더스,경제/IT,
테크노아,경제/IT,
테크월드,경제/IT,
테크홀릭,경제/IT,
투데이에너지,경제/IT,
파이낸셜뉴스,경제/IT,
파이낸셜신문,경제/IT,
프라임경제,경제/IT,
프레스나인,경제/IT,
핀포인트뉴스,경제/IT,
한국경제,경제/IT,
한국금융경제신문,경제/IT,
헤럴드경제,경제/IT,
CBC뉴스,경제/IT,
CCTV뉴스,경제/IT,
CEO스코어데일리,경제/IT,
CIO Korea,경제/IT,
ITWorld,경제/IT,
IT비즈뉴스,경제/IT,
NBN NEWS,경제/IT,
NBN미디어,경제/IT,
ㅍㅍㅅㅅ,인터넷신문,
가톨릭프레스,인터넷신문,
건강다이제스트,인터넷신문,
게임동아,인터넷신문,
게임조선,인터넷신문,
경인매일,인터넷신문,경기
고발뉴스,인터넷신문,
골프한국,인터넷신문,
공공뉴스,인터넷신문,
공생공사닷컴,인터넷신문,
광명지역신문,인터넷신문,경기
굿모닝경제,인터넷신문,
글로벌E,인터넷신문,
글로벌경제,인터넷신문,
글로벌에픽,인터넷신문,
금융소비자뉴스,인터넷신문,
기계설비신문,인터넷신문,
기계신문,인터넷신문,
노동과희망,인터넷신문,
노컷뉴스,인터넷신문,
노트펫,인터넷신문,
뉴데일리,인터넷신문,
뉴스드림,인터넷신문,
뉴스락,인터넷신문,
뉴스로드,인터넷신문,
뉴스메이커,인터넷신문,
뉴스민,인터넷신문,대구
뉴스버스,인터넷신문,
뉴스앤조이,인터넷신문,
뉴스워키,인터넷신문,
뉴스워커,인터넷신문,
뉴스웨이,인터넷신문,
뉴스웰,인터넷신문,
뉴스제주,인터넷신문,제주
뉴스캠프,인터넷신문,
뉴스케이프,인터넷신문,
뉴스퀘스트,인터넷신문,
뉴스클레임,인터넷신문,
뉴스톱,인터넷신문,
뉴스투데이,인터넷신문,
뉴스트리코리아,인터넷신문,
뉴스티앤티,인터넷신문,대전
뉴스펭귄,인터넷신문,
뉴스프리존,인터넷신문,
뉴스후플러스,인터넷신문,
뉴시안,인터넷신문,
단디뉴스,인터넷신문,경남
단비뉴스,인터넷신문,
대학저널,인터넷신문,
대한민국 정책브리핑,인터넷신문,
대한전문건설신문,인터넷신문,
더구루,인터넷신문,
더드라이브,인터넷신문,
더리포트,인터넷신문,
더밸류뉴스,인터넷신문,
더파워,인터넷신문,
더팩트,인터넷신문,
더퍼블릭,인터넷신문,
데이터솜,인터넷신문,
데일리365,인터넷신문,
데일리안,인터넷신문,
데일리임팩트,인터넷신문,
데일리팝,인터넷신문,
데일리한국,인터넷신문,
디센터,인터넷신문,
디스커버리뉴스,인터넷신문,
디지털비즈온,인터넷신문,
디지틀조선일보,인터넷신문,
딜사이트,인터넷신문,
딴지일보,인터넷신문,
땅집고,인터넷신문,
라이센스뉴스,인터넷신문,
라이프인,인터넷신문,
로봇신문,인터넷신문,
로톡뉴스,인터넷신문,
리버티코리아포스트,인터넷신문,
리얼푸드,인터넷신문,
마켓뉴스,인터넷신문,
매일노동뉴스,인터넷신문,
매일안전신문,인터넷신문,
머니S,인터넷신문,
메가경제,인터넷신문,
메디게이트뉴스,인터넷신문,
메디소비자뉴스,인터넷신문,
메디코파마뉴스,인터넷신문,
메트로신문,인터넷신문,
문화저널21,인터넷신문,
미디어오늘,인터넷신문,
미디어워치,인터넷신문,
미디어펜,인터넷신문,
민주신문,인터넷신문,
민중의소리,인터넷신문,
바이오스펙테이터,인터넷신문,
바이오타임즈,인터넷신문,
법률방송뉴스,인터넷신문,
불교공뉴스,인터넷신문,
불교닷컴,인터넷신문,
불교포커스,인터넷신문,
뷰스앤뉴스,인터넷신문,
뷰어스,인터넷신문,
브레이크뉴스,인터넷신문,
비마이너,인터넷신문,
비욘드포스트,인터넷신문,
비즈니스플러스,인터넷신문,
비즈트리뷴,인터넷신문,
빅데이터뉴스,인터넷신문,
산업일보,인터넷신문,
서울와이어,인터넷신문,
서울이코노미뉴스,인터넷신문,
서울타임즈뉴스,인터넷신문,
세계비즈,인터넷신문,
세종의 소리,인터넷신문,세종
소믈리에타임즈,인터넷신문,
소비자가 만드는 신문,인터넷신문,
수원일보,인터넷신문,경기
스마트경제,인터넷신문,
스마트에프엔,인터넷신문,
스마트타임스,인터넷신문,
스마트투데이,인터넷신문,
스카이데일리,인터넷신문,
스트레이트뉴스,인터넷신문,
슬로우뉴스,인터넷신문,
시민일보,인터넷신문,
시빅뉴스,인터넷신문,부산
시사뉴스24,인터넷신문,충남
시사위크,인터넷신문,
시사저널이코노미,인터넷신문,
시사캐스트,인터넷신문,
시사포커스,인터넷신문,
시선뉴스,인터넷신문,
아시아에이,인터넷신문,
아시아엔,인터넷신문,
아이뉴스24,인터넷신문,
아이투자,인터넷신문,
아이티비즈,인터넷신문,
아트인사이트,인터넷신문,
안전신문,인터넷신문,
에너지데일리,인터넷신문,
에듀프레스,인터넷신문,
엠투데이,인터넷신문,
여론과뉴스,인터넷신문,
여성경제신문,인터넷신문,
여수넷통뉴스,인터넷신문,전남
열린뉴스통신,인터넷신문,
오늘경제,인터넷신문,
오마이뉴스,인터넷신문,
오피니언뉴스,인터넷신문,
우먼스플라워,인터넷신문,
우먼타임스,인터넷신문,
위메이크뉴스,인터넷신문,
위키리크스한국,인터넷신문,
위키트리,인터넷신문,
의사신문,인터넷신문,
의학채널 비온뒤,인터넷신문,
이넷뉴스,인터넷신문,
이로운넷,인터넷신문,
이슈앤비즈,인터넷신문,
이지경제,인터넷신문,
이코노미톡뉴스,인터넷신문,
이코노텔링,인터넷신문,
이코리아,인터넷신문,
인공지능신문,인터넷신문,
인더뉴스,인터넷신문,
인더스트리뉴스,인터넷신문,
인민망,인터넷신문,
인베스트조선,인터넷신문,
인사이드 비나,인터넷신문,
인사이트,인터넷신문,
인천in,인터넷신문,인천
인천뉴스,인터넷신문,인천
임팩트온,인터넷신문,
전남매일,인터넷신문,광주
전북의소리,인터넷신문,전북
조세금융신문,인터넷신문,
증기이코노미,인터넷신문,
중앙신문,인터넷신문,경기
지피코리아,인터넷신문,
직썰,인터넷신문,
철도경제신문,인터넷신문,
청년일보,인터넷신문,
충청뉴스,인터넷신문,대전
컨슈머치,인터넷신문,
코리아리포트,인터넷신문,
키즈맘,인터넷신문,
토요경제,인터넷신문,
토큰포스트,인터넷신문,
톱데일리,인터넷신문,
투데이신문,인터넷신문,
투데이코리아,인터넷신문,
티티엘뉴스,인터넷신문,
파이낸셜리뷰,인터넷신문,
파이낸셜투데이,인터넷신문,
팜뉴스,인터넷신문,
팝콘뉴스,인터넷신문,
패션엔,인터넷신문,
팩트TV,인터넷신문,
펜앤드마이크,인터넷신문,
포쓰저널,인터넷신문,
포인트경제,인터넷신문,
폴리뉴스,인터넷신문,
푸드경제신문 organiclife,인터넷신문,
프레스맨,인터넷신문,
프레시안,인터넷신문,
하비엔뉴스,인터넷신문,
한강타임즈,인터넷신문,
한국NGO신문,인터넷신문,
한국강사신문,인터넷신문,
한국농어촌방송,인터넷신문,
한국정경신문,인터넷신문,
허프포스트코리아,인터넷신문,
헬로디디,인터넷신문,
헬스인뉴스,인터넷신문,
현대경제신문,인터넷신문,
환경과조경,인터넷신문,
히트뉴스,인터넷신문,
1코노미뉴스,인터넷신문,
AI타임스,인터넷신문,
AP신문,인터넷신문,
BBS NEWS,인터넷신문,
bnt뉴스,인터넷신문,
CNB뉴스,인터넷신문,
CWN,인터넷신문,
FETV,인터넷신문,
ifspost,인터넷신문,
IT조선,인터넷신문,
KPI뉴스,인터넷신문,
K스피릿,인터넷신문,
SR타임스,인터넷신문,
中요한 기자들,스포츠/연예,
美스테리한 기자들,스포츠/연예,
게임메카,스포츠/연예,
경성대 미식축구부 월간용광로,스포츠/연예,
경주한수원축구단,스포츠/연예,
경향게임스,스포츠/연예,
고려대학교 SPORTS KU,스포츠/연예,
골닷컴,스포츠/연예,
골프다이제스트,스포츠/연예,
골프타입즈,스포츠/연예,
국민체육진흥공단,스포츠/연예,
김포FC,스포츠/연예,
김형준 칼럼,스포츠/연예,
김환 칼럼,스포츠/연예,
네이버스포츠,스포츠/연예,
뉴스엔,스포츠/연예,
뉴스인사이드,스포츠/연예,
단국대학교 웅담,스포츠/연예,
대한게이트볼협회,스포츠/연예,
대한골프협회,스포츠/연예,
대한민국농구협회,스포츠/연예,
대한민국배구협회,스포츠/연예,
대한봅슬레이스켈레톤경기연맹,스포츠/연예,
대한택견회,스포츠/연예,
더 스파이크,스포츠/연예,
데일리e스포츠,스포츠/연예,
데일리스포츠한국,스포츠/연예,
도엔,스포츠/연예,
동국대학교 다르마,스포츠/연예,
디스이즈게임,스포츠/연예,
디스패치,스포츠/연예,
루키,스포츠/연예,
류현진 MLB 일기,스포츠/연예,
마니아타임즈,스포츠/연예,
마이데일리,스포츠/연예,
맨체스터시티 FC,스포츠/연예,
몬스터짐,스포츠/연예,
무비스트,스포츠/연예,
바스켓코리아,스포츠/연예,
박문성 칼럼,스포츠/연예,
발렌시아CF,스포츠/연예,
베스트일레븐,스포츠/연예,
보루시아 도르트문트,스포츠/연예,
브라이언 스털,스포츠/연예,
비즈볼프로젝트,스포츠/연예,
비즈엔터,스포츠/연예,
삼성 썬더스,스포츠/연예,
서형욱 칼럼,스포츠/연예,
서호정 칼럼,스포츠/연예,
선문대학교 축구부 프론트,스포츠/연예,
성호준 칼럼,스포츠/연예,
셀틱FC,스포츠/연예,
손대범 칼럼,스포츠/연예,
송산의 돌직구,스포츠/연예,
수원대학교 축구부 기자단,스포츠/연예,
스타뉴스,스포츠/연예,
스타데일리뉴스,스포츠/연예,
스타캐스트,스포츠/연예,
스포츠Q,스포츠/연예,
스포츠W,스포츠/연예,
스포츠경향,스포츠/연예,
스포츠동아,스포츠/연예,
스포츠서울,스포츠/연예,
스포츠월드,스포츠/연예,
스포츠조선,스포츠/연예,
스포츠춘추,스포츠/연예,
스포츠타임스,스포츠/연예,
스포츠투데이,스포츠/연예,
스포츠투아이,스포츠/연예,
스포츠한국,스포츠/연예,
스포탈코리아,스포츠/연예,
스포티비뉴스,스포츠/연예,
아시아리그,스포츠/연예,
아이즈 ize,스포츠/연예,
아주대 축구부 프론트,스포츠/연예,
안산그리너스FC,스포츠/연예,
알베르토 몬디,스포츠/연예,
앤드류 배걸리,스포츠/연예,
엣스타일,스포츠/연예,
야덕일지,스포츠/연예,
야큐 리포트,스포츠/연예,
양주시민축구단,스포츠/연예,
엑스포츠뉴스,스포츠/연예,
엔젤스파이팅,스포츠/연예,
염용근 칼럼,스포츠/연예,
영남대 축구부 홍보단,스포츠/연예,
영독한 기자들,스포츠/연예,
올림픽채널,스포츠/연예,
용인대스포츠기자단,스포츠/연예,
울산대학교 어스키퍼,스포츠/연예,
울산시민축구단,스포츠/연예,
위원석 칼럼,스포츠/연예,
이덕규 칼럼,스포츠/연예,
이영미 칼럼,스포츠/연예,
이은경 칼럼,스포츠/연예,
이종열 칼럼,스포츠/연예,
이창섭 칼럼,스포츠/연예,
인간vs축봇,스포츠/연예,
인벤,스포츠/연예,
인터풋볼,스포츠/연예,
일간스포츠,스포츠/연예,
