이름,분류,지역
일요신문 스포츠,스포츠/연예,
점프볼,스포츠/연예,
조석 카툰,스포츠/연예,
조이뉴스24,스포츠/연예,
중앙대학교 SPORTS CAU,스포츠/연예,
천안시청축구단,스포츠/연예,
청주FC,스포츠/연예,
최종준 칼럼,스포츠/연예,
추신수 MLB 일기,스포츠/연예,
축구저널,스포츠/연예,
춘천시민축구단,스포츠/연예,
충주 험멜,스포츠/연예,
케이스타뉴스,스포츠/연예,
콩푸엉 일기,스포츠/연예,
킹존 드래곤X,스포츠/연예,
테니스코리아,스포츠/연예,
테니스피플,스포츠/연예,
텐아시아,스포츠/연예,
톱스타뉴스,스포츠/연예,
티브이데일리,스포츠/연예,
페퍼저축은행 AI 페퍼스,스포츠/연예,
포모스,스포츠/연예,
포포투,스포츠/연예,
풋볼리스트,스포츠/연예,
피파+,스포츠/연예,
한게임 바둑,스포츠/연예,
한국3대3농구연맹,스포츠/연예,
한국배구연맹,스포츠/연예,
한국스포츠개발원,스포츠/연예,
한국체대 KNSB,스포츠/연예,
한국풋살연맹,스포츠/연예,
한국프로볼링협회,스포츠/연예,
한국프로축구선수협회,스포츠/연예,
한스경제,스포츠/연예,
한준 칼럼,스포츠/연예,
한화생명e스포츠,스포츠/연예,
헤럴드POP,스포츠/연예,
홍기자 칼럼,스포츠/연예,
홍익대 홍대신문,스포츠/연예,
흥국생명 핑크스파이던스,스포츠/연예,
JTBC GOLF,스포츠/연예,
KBS 연예,스포츠/연예,
KBSN 스포츠,스포츠/연예,
KGC인삼공사프로배구단,스포츠/연예,
MBC SPORTS+,스포츠/연예,
MBC연예,스포츠/연예,
MHN스포츠,스포츠/연예,
MK스포츠,스포츠/연예,
OBS TV,스포츠/연예,
OSEN,스포츠/연예,
RANK5,스포츠/연예,
SBS Golf,스포츠/연예,
SBS SPORTS,스포츠/연예,
SBS연예뉴스,스포츠/연예,
STAT 칼럼,스포츠/연예,
STN 스포츠,스포츠/연예,
Team LoL 칼럼,스포츠/연예,
The Sun,스포츠/연예,
TV리포트,스포츠/연예,
강원도민일보,지역지,강원
강원일보,지역지,강원
경기신문,지역지,경기
경기일보,지역지,경기
경남도민신문,지역지,경남
경남도민일보,지역지,경남
경남매일신문,지역지,경남
경남신문,지역지,경남
경남일보,지역지,
경북도민일보,지역지,경북
경북매일신문,지역지,경북
경북신문,지역지,경북
경북일보,지역지,경북
경상매일신문,지역지,경북
경상일보,지역지,울산
경인일보,지역지,경기
고양신문,지역지,경기
광주드림,지역지,광주
광주매일신문,지역지,광주
국제신문,지역지,부산
군포시민신문,지역지,경기
굿모닝충청,지역지,대전
금강일보,지역지,대전
기호일보,지역지,인천
김해뉴스,지역지,경남
남도일보,지역지,광주
뉴스경남,지역지,경남
뉴스저널리즘,지역지,
뉴제주일보,지역지,제주
당진시대,지역지,충남
당진신문,지역지,충남
대경일보,지역지,경북
대구MBC,지역지,대구
대구신문,지역지,대구
대구일보,지역지,대구
대전시티저널,지역지,대전
대전일보,지역지,대전
동양일보,지역지,
디트뉴스24,지역지,대전
라디오코리아,지역지,
매일신문,지역지,대구
무등일보,지역지,광주
미디어제주,지역지,제주
미주중앙일보,지역지,
미주한국일보,지역지,
부산일보,지역지,부산
새전북신문,지역지,전북
성주신문,지역지,경북
시민의소리,지역지,광주
양산신문,지역지,경남
영남일보,지역지,대구
울산매일신문,지역지,울산
울산제일일보,지역지,울산
인천일보,지역지,인천
인천투데이,지역지,인천
전남일보,지역지,광주
전라일보,지역지,전북
전민일보,지역지,전북
전북도민일보,지역지,전북
전북일보,지역지,전북
전북중앙,지역지,전북
전주MBC,지역지,전북
제민일보,지역지,제주
제주도민일보,지역지,제주
제주매일,지역지,제주
제주의소리,지역지,제주
제주일보,지역지,제주
중도일보,지역지,대전
중부매일,지역지,
중부일보,지역지,경기
충남일보,지역지,대전
충북일보,지역지,
충청리뷰,지역지,
충청매일,지역지,
충청일보,지역지,
충청타임즈,지역지,
충청투데이,지역지,대전
헤드라인제주,지역지,제주
CJB청주방송,지역지,
JIBS,지역지,제주
kbc광주방송,지역지,광주
MS투데이,지역지,강원
VOA,지역지,
골프저널,매거진,
공학저널,매거진,
낚시춘추,매거진,
농업정보신문,매거진,
더뮤지컬,매거진,
더스쿠프,매거진,
더핑퐁,매거진,
디자인정글,매거진,
레이디경향,매거진,
르몽드 디플로마티크,매거진,
마리끌레르,매거진,
매경이코노미,매거진,
맥스무비,매거진,
머니,매거진,
메종,매거진,
브라보마이라이프,매거진,
브레인미디어,매거진,
비지니스코리아,매거진,
빌리어즈,매거진,
소셜밸류,매거진,
시사IN,매거진,
시사매거진,매거진,
시사오늘,매거진,
시사저널,매거진,
신동아,매거진,
씨네21,매거진,
아웃도어뉴스,매거진,
에스콰이어,매거진,
엔지니어링데일리,매거진,
엘르,매거진,
엠에프지,매거진,
여성동아,매거진,
여선조선,매거진,
여성중앙,매거진,
여행스케치,매거진,
연합이매진,매거진,
월간 산,매거진,
월간 오디오,매거진,
월간로봇기술,매거진,
월간마이더스,매거진,
월간암,매거진,
월간오늘보다,매거진,
월간조선,매거진,
월간중앙,매거진,
월간현대경영,매거진,
위클리오늘,매거진,
이웃집과학자,매거진,
이코노미스트,매거진,
이코노미조선,매거진,
이코노믹리뷰,매거진,
인사이트코리아,매거진,
인터뷰365,매거진,
일렉트릭파워,매거진,
조선에듀,매거진,
주간경향,매거진,
주간동아,매거진,
주간조선,매거진,
주간한국,매거진,
중앙SUNDAY,매거진,
지이코노미,매거진,
참여와혁신,매거진,
채널예스,매거진,
카스포인트,매거진,
테크M,매거진,
트래비,매거진,
팜앤마켓매거진,매거진,
패션비즈,매거진,
패션저널,매거진,
포브스코리아,매거진,
포춘코리아,매거진,
하퍼스바자,매거진,
한겨레21,매거진,
한경비즈니스,매거진,
한경잡앤조이,매거진,
헬로티,매거진,
allure,매거진,
CHIEF EXECUTIVE,매거진,
CNB저널(문화경제),매거진,
GQ,매거진,
M이코노미뉴스,매거진,
PC사랑,매거진,
Queen 이코노미퀸,매거진,
Tomorrow,매거진,
topclass,매거진,
VOGUE,매거진,
VOGUE girl,매거진,
W,매거진,
가스신문,전문지/기타,
가톨릭뉴스 지금여기,전문지/기타,
가톨릭신문,전문지/기타,
건설타임즈,전문지/기타,
게임뷰,전문지/기타,
게임샷,전문지/기타,
게임플,전문지/기타,
경기메디뉴스,전문지/기타,
경희대학교 레굴루스,전문지/기타,
골프산업신문,전문지/기타,
공감신문,전문지/기타,
광운대학교 아르마스,전문지/기타,
교수신문,전문지/기타,
국민의당,전문지/기타,
국방일보,전문지/기타,
국토일보,전문지/기타,
국회,전문지/기타,
그린포스트코리아,전문지/기타,
기자협회보,전문지/기타,
나무신문,전문지/기타,
노동과세계,전문지/기타,
논객닷컴,전문지/기타,
농기자재신문,전문지/기타,
농민신문,전문지/기타,
농수축산신문,전문지/기타,
농장에서식탁까지,전문지/기타,
농축유통신문,전문지/기타,
뉴스브라이트,전문지/기타,
뉴스와이어,전문지/기타,
뉴스컬처,전문지/기타,
뉴스타파,전문지/기타,
뉴스포스트,전문지/기타,
대명 킬러웨일즈,전문지/기타,
대안식당,전문지/기타,
대한급식신문,전문지/기타,
대한럭비협회,전문지/기타,
대한씨름협회,전문지/기타,
대한장애인체육회,전문지/기타,
대한체육회,전문지/기타,
더게임스데일리,전문지/기타,
더나은미래,전문지/기타,
더불어민주당,전문지/기타,
더불어시민당,전문지/기타,
더스탁,전문지/기타,
더페어,전문지/기타,
데이터뉴스,전문지/기타,
데일리NK,전문지/기타,
데일리굿뉴스,전문지/기타,
데일리로그,전문지/기타,
데일리메디,전문지/기타,
데일리벳,전문지/기타,
데일리시큐,전문지/기타,
데일리카,전문지/기타,
데일리포스트,전문지/기타,
데일리환경,전문지/기타,
독서신문,전문지/기타,
동아사이언스,전문지/기타,
디일렉,전문지/기타,
라온신문,전문지/기타,
라이브팜뉴스,전문지/기타,
라포르시안,전문지/기타,
레디앙,전문지/기타,
로리더,전문지/기타,
로이슈,전문지/기타,
리걸타임즈,전문지/기타,
리얼캐스트,전문지/기타,
매경헬스,전문지/기타,
매일건설신문,전문지/기타,
메디칼업저버,전문지/기타,
메디칼타임즈,전문지/기타,
메디칼트리뷴,전문지/기타,
메디컬월드뉴스,전문지/기타,
메디컬투데이,전문지/기타,
메디파나뉴스,전문지/기타,
무비위크,전문지/기타,
무카스,전문지/기타,
문학뉴스,전문지/기타,
문화뉴스,전문지/기타,
물류신문,전문지/기타,
미디어스,전문지/기타,
미디어파인,전문지/기타,
미래통합당,전문지/기타,
민생당,전문지/기타,
민족의학신문,전문지/기타,
민주평화당,전문지/기타,
민중당,전문지/기타,
바른정당,전문지/기타,
반론보도닷컴,전문지/기타,
방송기술저널,전문지/기타,
백세시대,전문지/기타,
법률신문,전문지/기타,
법률저널,전문지/기타,
법보신문,전문지/기타,
법조신문,전문지/기타,
베리타스알파,전문지/기타,
베이비뉴스,전문지/기타,
베이비타임즈,전문지/기타,
보건뉴스,전문지/기타,
보험매일,전문지/기타,
부안독립신문,전문지/기타,전북
불교신문,전문지/기타,
뷰티경제,전문지/기타,
비건뉴스,전문지/기타,
비즈월드,전문지/기타,
빅터뉴스,전문지/기타,
사이언스타임즈,전문지/기타,
새로운보수당,전문지/기타,
서울문화투데이,전문지/기타,
서울시체육회,전문지/기타,
서울유나이티드,전문지/기타,
성균관대학교 ESKAKA,전문지/기타,
세이프타임즈,전문지/기타,
세정신문,전문지/기타,
세정일보,전문지/기타,
셀럽미디어,전문지/기타,
소년한국일보,전문지/기타,
스카우팅리포트,전문지/기타,
식품저널 foodnews,전문지/기타,
신소재경제신문,전문지/기타,
신화사 연합뉴스,전문지/기타,
싱글리스트,전문지/기타,
아파트관리신문,전문지/기타,
안산무궁화프로축구단,전문지/기타,
알티케이뉴스,전문지/기타,
애슬릿미디어,전문지/기타,
약사공론,전문지/기타,
약업신문,전문지/기타,
양평시민의소리,전문지/기타,경기
어린이동아,전문지/기타,
어업IN수산,전문지/기타,
어패럴뉴스,전문지/기타,
에너지신문,전문지/기타,
에너지플랫폼뉴스,전문지/기타,
에듀동아,전문지/기타,
에이블뉴스,전문지/기타,
여성소비자신문,전문지/기타,
여성신문,전문지/기타,
여행신문,전문지/기타,
연세대학교 시스붐바,전문지/기타,
연합인포맥스,전문지/기타,
열린민주당,전문지/기타,
오토타임즈,전문지/기타,
올치올치,전문지/기타,
우드플래닛,전문지/기타,
우리공화당,전문지/기타,
원불교신문,전문지/기타,
원예산업신문,전문지/기타,
월간노동법률,전문지/기타,
월간불광,전문지/기타,
월간원예,전문지/기타,
월드코리아신문,전문지/기타,
월요신문,전문지/기타,
위드인뉴스,전문지/기타,
위클리한국주택경제신문,전문지/기타,
유교신문,전문지/기타,
의약뉴스,전문지/기타,
의학신문,전문지/기타,
의협신문,전문지/기타,
이코노미타임즈,전문지/기타,
일간NTN,전문지/기타,
일다,전문지/기타,
일요서울,전문지/기타,
일요시사,전문지/기타,
일요신문,전문지/기타,
잡포스트,전문지/기타,
장애인신문,전문지/기타,
재외동포신문,전문지/기타,
재해재난속보,전문지/기타,
전기신문,전문지/기타,
정신의학신문,전문지/기타,
정의당,전문지/기타,
정책브리핑,전문지/기타,
중소기업뉴스,전문지/기타,
중앙일보 헬스미디어,전문지/기타,
참세상,전문지/기타,
철강금속신문,전문지/기타,
청년의사,전문지/기타,
청와대,전문지/기타,
축산경제신문,전문지/기타,
치과신문,전문지/기타,
친박신당,전문지/기타,
컨슈머타임스,전문지/기타,
코나스,전문지/기타,
코리아넷,전문지/기타,
코리아쉬핑가제트,전문지/기타,
코리아중앙데일리,전문지/기타,
코리아타임스,전문지/기타,
코리아헤럴드,전문지/기타,
코리아헬스로그,전문지/기타,
코메디닷컴,전문지/기타,
쿠키뉴스,전문지/기타,
쿡엔셰프,전문지/기타,
크리스천투데이,전문지/기타,
택스워치,전문지/기타,
통일뉴스,전문지/기타,
투데이e코노믹,전문지/기타,
투어코리아뉴스,전문지/기타,
트래블투데이,전문지/기타,
파이낸셜포스트,전문지/기타,
파이낸셜투데이,전문지/기타,
퍼블릭뉴스,전문지/기타,
페로타임즈,전문지/기타,
평화뉴스,전문지/기타,대구
포인트데일리,전문지/기타,
플래텀,전문지/기타,
플레이디비,전문지/기타,
피앤피뉴스,전문지/기타,
필드뉴스,전문지/기타,
하우징헤럴드,전문지/기타,
하이닥,전문지/기타,
한귝교육신문,전문지/기타,
한국금융신문,전문지/기타,
한국기독공보,전문지/기타,
한국농어민신문,전문지/기타,
한국농업신문,전문지/기타,
한국농정신문,전문지/기타,
한국농촌경제신문,전문지/기타,
한국대학스포츠협의회,전문지/기타,
한국대학신문,전문지/기타,
한국면세뉴스,전문지/기타,
한국목재신문,전문지/기타,
한국무역신문,전문지/기타,
한국보험신문,전문지/기타,
한국섬유신문,전문지/기타,
한국스포츠통신,전문지/기타,
한국아파트신문,전문지/기타,
한국영농신문,전문지/기타,
한국원자력신문,전문지/기타,
한양대학교 사자후,전문지/기타,
한의신문,전문지/기타,
핸드메이커,전문지/기타,
헤모필리아라이프,전문지/기타,
헬스경향,전문지/기타,
헬스조선,전문지/기타,
현대불교신문,전문지/기타,
현대해양,전문지/기타,
화이트페이퍼,전문지/기타,
후생신보,전문지/기타,
CTS,전문지/기타,
EBN,전문지/기타,
ESG경제,전문지/기타,
EV라운지,전문지/기타,
e의료정보,전문지/기타,
FPN,전문지/기타,
FT스포츠,전문지/기타,
IT동아,전문지/기타,
KBR,전문지/기타,
Korea IT Times,전문지/기타,
KOTRA해외시장뉴스,전문지/기타,
kt 롤스터,전문지/기타,
PD저널,전문지/기타,
RPM9,전문지/기타,
S-저널,전문지/기타,
SPACE(rhdrks),전문지/기타,
The New York Times,전문지/기타,
THE PR,전문지/기타,
